,type,url,headline,euRelation,countryOfOrigin,claimreviewed,source_url,date_published_parsed
0,Debunk,https://factcheckgreek.afp.com/doc.afp.com.366329Q,Biased study misleads on vaccine safety,Indirect,GR,Study published in The Lancet showed that almost 73.9% of autopsies were due to Covid-19 vaccines,https://www.facebook.com/permalink.php?story_fbid=pfbid036HjJ2uiAd4pjSPHgFrdJ6JwSFtmJRNao7jt8x5KKB6xsuPsQgyVsdGMwCp6rUffYl&id=100066545882568,2024-07-29 08:47:00.000
1,Debunk,https://www.newtral.es/ataudes-militares-britanicos-imagen-fake/20240726/,This image of British military coffins was not taken after a Russian attack in Ukraine,Indirect,ES,This image shows the coffins of 40 active British Army soldiers after a missile attack by the Russian army in Odesa.,https://x.com/TuiteroSismico/status/1815516826979414244,2024-07-26 15:34:30.000
2,Debunk,https://www.newtral.es/desalojo-hospitales-canarias-fake/20240726/,It is false that they have “evicted” two hospitals in Gran Canaria to treat migrants who arrive at the coast,Indirect,ES,Patients are being evicted from Doctor Negrín and Insular hospitals so that illegal immigrants arriving in Las Palmas de Gran Canaria can be treated.,https://x.com/Puntual24H/status/1814627631913918724,2024-07-26 10:39:13.000
3,Factcheck,https://www.verificat.cat/es/no-es-preciso-que-el-90-de-los-extranjeros-que-dicen-ser-menores-sean-mayores-de-edad-la-cifra-es-de-un-caso-muy-concreto/,It is not necessary that “90%” of foreigners who claim to be minors are of legal age: the figure is from a very specific case,Indirect,ES,"In Aragón, 90% of these so-called minors later turn out that they are not that minor, but that they are of legal age",https://www.cope.es/trecetv/programas/el-cascabel/noticias/vox-insiste-negativa-ayudar-canarias-cabe-todo-mundo-20240717_3404146,2024-07-26 10:02:53.000
4,Debunk,https://info-veritas.com/desinformacion-bulgaria-burka-2016/,Bulgaria banned the burka in public spaces in 2016,Direct,ES,"Bulgaria passed a law prohibiting the use of burkas in public places, institutions, schools and government offices. Those who do not comply with the law are excluded from social assistance and will be fined €850. Do you support this STRONG MEASURE?",https://x.com/eduardomenoni/status/1815827048021229698?s=12,2024-07-26 08:28:46.000
5,Debunk,https://factuel.afp.com/doc.afp.com.364T6XT,Paris Olympics: disinformation is spreading on the eve of the opening ceremony,Indirect,FR,Water from the Seine considered more dangerous than water from the Ganges,https://x.com/BabinFrank1/status/1814754207150293099,2024-07-25 16:07:00.000
6,Debunk,https://factuel.afp.com/doc.afp.com.364T6DC,Olympic Games 2024: A wave of misinformation about the cleanliness of the Seine,Indirect,FR,An Indian media report affirms that the Seine is more dangerous than the Ganges according to a UN study,https://x.com/BabinFrank1/status/1814754207150293099,2024-07-25 15:28:00.000
7,Debunk,https://cinjenice.afp.com/doc.afp.com.364X23Y,Ivana Španovic did not withdraw from the Olympics because of the plan for the Rio Tinto lithium mine,Direct,RS,Ivana Španović announced on X that she is withdrawing from the Olympics because of lithium mines,https://www.facebook.com/zlatko.mironicki/posts/pfbid02u5PAZYz4WGoBvJjKz7CWzn1EfBbV9rtARN8BHi1mvNy8c84bnM5ZzbdCrUPQgWjkl,2024-07-25 12:29:00.000
8,Debunk,https://cinjenice.afp.com/doc.afp.com.364V6UH,The page where Hitler is presented as a 'liberator' is not from an officially published textbook for Ukrainian schoolchildren,Indirect,RS,Photo shows a page from an official Ukrainian history textbook glorifying Hitler,https://t.me/istocni_front/39531,2024-07-25 12:21:00.000
9,Debunk,https://www.factchecker.gr/2024/07/25/kamala-harris-is-not-supporting-population-reduction/,Video Doesn't Prove Kamala Harris Supports Population Reduction,Indirect,GR,Kamala Harris supports population reduction,https://x.com/thrsts_/status/1680060427001114624,2024-07-25 10:18:51.000
10,Debunk,https://info-veritas.com/desinformacion-noticia-cafeteria-feminista-2017/,The news of the opening of the “feminist cafeteria” dates back to 2017,Indirect,ES,The first 'feminist cafeteria' opens: men pay 18% more,https://x.com/EduardoBr77/status/1815674179993145735,2024-07-25 09:30:00.000
11,Debunk,https://www.ellinikahoaxes.gr/2024/07/24/i-elvetia-den-apagorefse-to-chitzab-kai-anagnorizei-kanonika-to-islam-os-thriskeia/,Switzerland has not banned the hijab and normally recognizes Islam as a religion,Indirect,GR,Switzerland bans the Islamic head covering (hijab) and does not recognize Islam as an official religion after a referendum,https://www.facebook.com/BabisTzigounakis/posts/pfbid0dMaxPHmFwUf91Xer9ZmqjGwkV9L6wfbGhQ9hfgajNbNKoukEEb4Hf1Suwugbq6NAl,2024-07-24 18:23:26.000
12,Debunk,https://napravoumiru.afp.com/doc.afp.com.364N6JQ,Lab results do not prove deliberate spraying of 'toxic' Saharan sand,Indirect,CZ,Saharan sand proves deliberate attempt to spray countries with toxic dust,https://www.facebook.com/permalink.php?story_fbid=pfbid0kysqjgjBXWLF5mF8Mwm8meZ4Hhm3UWkR1ffCGkySrQdXqLMaYe48kNRYJJG3JPqal&id=100091592894209,2024-07-24 13:41:00.000
13,Debunk,https://verifica.efe.com/el-video-donde-kamala-harris-habla-de-modo-incoherente-esta-manipulado/,The video where Kamala Harris speaks incoherently is manipulated,Indirect,ES,A video shows Kamala Harris babbling and giving a meaningless speech,https://x.com/Arturocyl/status/1815265342601535545,2024-07-24 13:22:35.000
